item,code,max time,text,shuffle 1,comment,survey,
0,instruct,user,"<p> Dear participant </p><p> Thank you very much for accepting the invitation to participate in the second part of the MAGMOT study. </p><p> During this part, you will be asked to try to remember the magic tricks you have seen inside the MRI scanner a week ago. <br> This includes a cued recall where we will present you still images of each of the 36 magic tricks and ask you to briefly describe what has happened in the magic trick. Depending on your answers in the recall tests, we will categories each magic trick you have seen in the first experiment as either remembered or forgotten. To enable us to do that, please try to be as distinct, specific and descriptive as possible when referring to the magic tricks. <br> Further, there will be a recognition test where you will see the same 36 still images and offered four choices to answer the question, ""what happens in this magic trick?"". You are asked to pick the correct answer and to indicate afterwards how confident you feel regarding your answer.</p><p> We estimate the duration of the task to be 45 min. You will receive additional course credit/monetary reward for your participation in this part of the study. </p>",off,Welcome,,
0,instruct,user,"<p> In the following trials, we will present you still images of the 36 magic tricks you have seen in random order. Please write down what has happened in the trick cued by the picture.  </p><p> Again, please try to write down your answer as descriptive as possible, so that we are able to judge whether you recalled a specific magic trick or not.</p> If you cannot recall what has happened in the magic trick cued by the still image, please insert ""no recall"".",off,instruction,,
2,magic_recall,user,,off,experiment,,
3,magic_recall,user,,off,experiment,,
4,magic_recall,user,,1,experiment,,
5,magic_recall,user,,1,experiment,,
6,magic_recall,user,,1,experiment,,
7,magic_recall,user,,1,experiment,,
8,magic_recall,user,,1,experiment,,
9,magic_recall,user,,1,experiment,,
10,magic_recall,user,,1,experiment,,
11,magic_recall,user,,1,experiment,,
12,magic_recall,user,,1,experiment,,
13,magic_recall,user,,1,experiment,,
14,magic_recall,user,,1,experiment,,
15,magic_recall,user,,1,experiment,,
16,magic_recall,user,,1,experiment,,
17,magic_recall,user,,1,experiment,,
18,magic_recall,user,,1,experiment,,
19,magic_recall,user,,1,experiment,,
20,magic_recall,user,,1,experiment,,
21,magic_recall,user,,1,experiment,,
22,magic_recall,user,,1,experiment,,
23,magic_recall,user,,1,experiment,,
24,magic_recall,user,,1,experiment,,
25,magic_recall,user,,1,experiment,,
26,magic_recall,user,,1,experiment,,
27,magic_recall,user,,1,experiment,,
28,magic_recall,user,,1,experiment,,
29,magic_recall,user,,1,experiment,,
30,magic_recall,user,,1,experiment,,
31,magic_recall,user,,1,experiment,,
32,magic_recall,user,,1,experiment,,
33,magic_recall,user,,1,experiment,,
34,magic_recall,user,,1,experiment,,
35,magic_recall,user,,1,experiment,,
36,magic_recall,user,,1,experiment,,
37,magic_recall,user,,1,experiment,,
0,instruct,user,"<p> Thank you for completing the cued recall task. </p> Next, there will be a recognition memory test. You will see the same images as before in random order and again, you are asked to correctly recall what has happened in the magic trick. This time, however, you will be offered with four answers and we would kindly ask you to pick the correct one. Afterwards, please indicate how confident you are regarding your answer. That means if you are certain that this is the correct answer, your confidence will be high whereas it is low in case you are guessing.",off,,,
2,magic_recognition,user,,2,experiment,,
3,magic_recognition,user,,2,experiment,,
4,magic_recognition,user,,2,experiment,,
5,magic_recognition,user,,2,experiment,,
6,magic_recognition,user,,2,experiment,,
7,magic_recognition,user,,2,experiment,,
8,magic_recognition,user,,2,experiment,,
9,magic_recognition,user,,2,experiment,,
10,magic_recognition,user,,2,experiment,,
11,magic_recognition,user,,2,experiment,,
12,magic_recognition,user,,2,experiment,,
13,magic_recognition,user,,2,experiment,,
14,magic_recognition,user,,2,experiment,,
15,magic_recognition,user,,2,experiment,,
16,magic_recognition,user,,2,experiment,,
17,magic_recognition,user,,2,experiment,,
18,magic_recognition,user,,2,experiment,,
19,magic_recognition,user,,2,experiment,,
20,magic_recognition,user,,2,experiment,,
21,magic_recognition,user,,2,experiment,,
22,magic_recognition,user,,2,experiment,,
23,magic_recognition,user,,2,experiment,,
24,magic_recognition,user,,2,experiment,,
25,magic_recognition,user,,2,experiment,,
26,magic_recognition,user,,2,experiment,,
27,magic_recognition,user,,2,experiment,,
28,magic_recognition,user,,2,experiment,,
29,magic_recognition,user,,2,experiment,,
