stimID,Image,option1,option2,option3,option4,
H7,https://dl.dropbox.com/s/v11auy780vopcm7/H7_cue.png?dl=0,The magician lets a coin appear everywhere around the salt shaker.,The magician changes the salt to water.,The magician wraps the salt shaker in the cloth and makes it disappear.,The salt shaker turns into a bottle.,
H10,https://dl.dropbox.com/s/tx4i2g5bl3x4e0y/H10_cue.png?dl=0,The magician magically repairs split card.,The magician is able to split and put back together a card.,"Without touching it, the magician is able to move the pieces of the cards further and further away from each other.",The magician places his hand over the card multiple times and each time a piece disappears.,
H15,https://dl.dropbox.com/s/3v6df99ahq8adep/H15_cue.png?dl=0,The magician balances a toothpick on a deck of cards.,"The magician pierces the deck of cards with a toothpick, but afterwards there is no hole.",The magician lets a card picked by the volunteer appear in the card box.,"When the magician starts to shake the card box, toothpicks start to fall out of the box and the cards have vanished.",
H16,https://dl.dropbox.com/s/jgo383pmivx7ikr/H16_cue.png?dl=0,The magician pours coke into a glass from an empty can.,The magician is able to remove the dents from the can without touching it.,The magician pours coke into a glass and makes it disappear.,"Although the can seems empty, the magician is able to pour sparkling water.",
H17,https://dl.dropbox.com/s/jgu31a17xpyiq3i/H17_cue.png?dl=0,"The magician uses a guillotine to slice breadsticks, but not the volunteer's finger.",The magician rejoins bread sticks which the volunteer sliced with the guillotine.,"The magician places the bread sticks in the bag, when the volunteer looks into the bag the bread sticks have transformed into a bun.","The volunteer tries to slice breadsticks with the guillotine, but cannot do it.",
H19,https://dl.dropbox.com/s/ynacm362gtiu56w/H19_cue.png?dl=0,"The magician places paper in volunteer's hand and sets it alight, revealing a red sponge ball.",The magician lights matches without touching them.,The magician transforms matches into a lighter.,The magician presses a lit match into volunteer's hand without hurting her.,
H35,https://dl.dropbox.com/s/f8wm6vo4ut2qpzp/H35_cue.png?dl=0,The volunteer signs a card which the magician subsequently pulls from a Ziploc bag.,"While the magician is shuffling the deck of cards, all four aces start to appear in the Ziploc bag.",The magician puts all the cards into the Ziploc bag. After snapping their fingers the cards appear in the box and the bag is empty again.,"The volunteer signs a card that is placed into the Ziploc bag, but then appears in the card box.",
H36,https://dl.dropbox.com/s/ufxvnqmsqyfd7wq/H36_cue.png?dl=0,The nut is placed on the middle of the bold by the volunteer and magically unscrews itself.,"The magician shrinks the bolt, so that the nut does not stay on it any longer.",The magician places the nut in the middle of the bold and it magically screws itself.,The magician bends the bolt by hand.,
H37,https://dl.dropbox.com/s/f237r3kp8ogkm3g/H37_cue.png?dl=0,The magician unscrews his own finger and then shakes it back into place.,"The magician claps his gloved hands, the gloves dissapear leaving his hands bare.",The magician turns his gloves into mittens.,"The magician detaches his thumb, but when he turns his hands, the thumb is reattached.",
K2,https://dl.dropbox.com/s/g70czglmr05ftf2/K2_cue.png?dl=0,Green and golden sweets fall out of the pages of the book.,The sweets shown on the pages disappear.,Gummi bears fall out of the book.,Micky and Mini Mouse from the pages of the book are poured out onto the table as little biscuits.,
K3,https://dl.dropbox.com/s/zf5akozk2wtybsm/K3_cue.png?dl=0,The magician makes ladybirds appear and then disappear again.,The magician changes the shape of the leaf.,The magician takes the leaf and turns it into a box of flowers.,The magician changes the colour of the leaf several times.,
K4,https://dl.dropbox.com/s/oxrdm9w74tvfxib/K4_cue.png?dl=0,The magician solves the rubix cube by spinning it in the air.,The rubix cube levitates.,The rubix cube turns into a ball.,The magician shakes the rubix cube and it becomes all white.,
K10,https://dl.dropbox.com/s/wobet70ogx8oo3m/K10_cue.png?dl=0,The safety pins magically interlock without breaking the seal.,The safety pins magically double in size.,"Although there are two safety pins at the beginning, they are magically melt together.",The magician uses the safety pins to create a little star.,
K16_short,https://dl.dropbox.com/s/ofuus9f8daggu4w/K16_short_cue.png?dl=0,"The volunteer selects and signs a card that is placed in the middle of the deck, but then appears on the top of it.","The magician shuffles the cards and places them in front of him. When he taps the card with the pen, they spread out.","The magician covers the unsorted cards with a silk handkerchief. When the handkerchief is removed, each of the cards is marked.","The magician asks the volunteer to mark the cards using the pen. After he shuffles them, the volunteer's writing has disappeared from all of the cards.",
K18,https://dl.dropbox.com/s/zt2zms48an5tkol/K18_cue.png?dl=0,A pack of cards appears from a single piece of paper.,The magician folds the sheet of paper smaller and smaller until it transforms into a pack of cards.,The magician splays out the cards more and more until they resemble bunting.,The magician turns the sheet of paper which now shows a bouquet of flowers.,
K19_long,https://dl.dropbox.com/s/djz13kiif9k8jrz/K19_long_cue.png?dl=0,The balls magically change their location and become a toy rabbit.,The print on the mug changes from a black Q10 to a red B2.,The red balls are placed under the mug and merge to become a form a larger ball.,"The magician covers the mug and the red balls with a handkerchief. When he removes it, there is a tea pot with a red lid.",
